row_id,chat_message_id,country,prompt,status,text,type,polarity,temporality,experiencer,context,modifiers,language,start,end,evidence_status,match_status,reference_id,issues,review_notes
1,synthetic-01,GB,No diabetes. Could this be asthma?,needs_review,diabetes,pathology,negated,unspecified,unspecified,unspecified,[],und,3,11,validated,unmapped,,language_uncertain; reference_review_required,
1,synthetic-01,GB,No diabetes. Could this be asthma?,needs_review,asthma,pathology,uncertain,unspecified,unspecified,unspecified,[],und,27,33,validated,matched,ICD10:J45,language_uncertain; reference_review_required,
2,synthetic-02,GB,Treatment for type 2 diabetes mellitus?,needs_review,type 2 diabetes mellitus,pathology,unspecified,unspecified,unspecified,general_question,[],la,14,38,validated,matched,ICD10:E11,language_outside_evaluated_scope,
3,synthetic-03,GB,Metformin 500 mg,needs_review,Metformin,active_substance,unspecified,unspecified,unspecified,unspecified,[],und,0,9,validated,matched,LOCAL:substance:c18f8cceb7aa87dad555,language_uncertain,
4,synthetic-04,GB,Ozempic dosing?,needs_review,Ozempic,brand,unspecified,unspecified,unspecified,general_question,[],und,0,7,validated,matched,EMA:EMEA/H/C/004174,language_uncertain,
5,synthetic-05,GB,Rybelsus versus Ozempic,needs_review,Rybelsus,brand,unspecified,unspecified,unspecified,unspecified,[],und,0,8,validated,matched,EMA:EMEA/H/C/004953,language_uncertain,
5,synthetic-05,GB,Rybelsus versus Ozempic,needs_review,Ozempic,brand,unspecified,unspecified,unspecified,unspecified,[],und,16,23,validated,matched,EMA:EMEA/H/C/004174,language_uncertain,
6,synthetic-06,PT,Doente sem febre.,needs_review,febre,symptom,negated,unspecified,unspecified,unspecified,[],und,11,16,validated,unmapped,,language_uncertain; reference_review_required,
7,synthetic-07,FR,fièvre et fatigue,needs_review,fièvre,symptom,unspecified,unspecified,unspecified,unspecified,[],und,0,6,validated,unmapped,,language_uncertain; reference_review_required,
7,synthetic-07,FR,fièvre et fatigue,needs_review,fatigue,symptom,unspecified,unspecified,unspecified,unspecified,[],und,10,17,validated,unmapped,,language_uncertain; reference_review_required,
8,synthetic-08,PT,MS,needs_review,MS,pathology,uncertain,unspecified,unspecified,unspecified,[],und,0,2,validated,unmapped,,language_uncertain; reference_review_required,
9,synthetic-09,PT,E a dose?,needs_review,,,,,,,[],und,,,,,,language_uncertain; insufficient_context,
10,synthetic-10,GB,Could this be astma?,needs_review,astma,pathology,uncertain,unspecified,unspecified,unspecified,[],en,14,19,validated,unmapped,,reference_review_required,
11,synthetic-11,GB,No asthma. History of asthma.,needs_review,asthma,pathology,negated,unspecified,unspecified,unspecified,[],und,,,ambiguous_occurrence,not_attempted,,language_uncertain; repeated_evidence_requires_review:asthma; repeated_evidence_requires_review:asthma; reference_review_required,
11,synthetic-11,GB,No asthma. History of asthma.,needs_review,asthma,pathology,affirmed,unspecified,unspecified,unspecified,[],und,,,ambiguous_occurrence,not_attempted,,language_uncertain; repeated_evidence_requires_review:asthma; repeated_evidence_requires_review:asthma; reference_review_required,
12,synthetic-12,GB,,invalid_input,,,,,,,[],,,,,,,missing_id_or_blank_prompt,
13,v2-13,PT,O doente tem antecedentes de apendicectomia na infância.,needs_review,apendicectomia,procedure,affirmed,historical,patient,patient_specific,[],pt,29,43,validated,matched,LOCAL:appendectomy,local_vocabulary_requires_review,
14,v2-14,ES,¿Cuándo se debe solicitar HbA1c en atención primaria?,needs_review,HbA1c,diagnostic_test,unspecified,unspecified,unspecified,general_question,[],es,26,31,validated,matched,LOCAL:hba1c,local_vocabulary_requires_review,
15,v2-15,FR,Le patient demande une IRM pour explorer ses symptômes.,needs_review,IRM,diagnostic_test,unspecified,future,patient,patient_specific,[],fr,23,26,validated,matched,LOCAL:mri,local_vocabulary_requires_review,
16,v2-16,IT,Il paziente non ha mai subito una appendicectomia.,needs_review,appendicectomia,procedure,negated,historical,patient,patient_specific,[],und,34,49,validated,matched,LOCAL:appendectomy,language_uncertain; local_vocabulary_requires_review,
17,v2-17,PT,O doente tem asma grave.,needs_review,asma,pathology,affirmed,current,patient,patient_specific,"[{""type"": ""severity"", ""text"": ""grave"", ""value"": ""severe"", ""start"": 18, ""end"": 23, ""relation_status"": ""model_asserted_requires_review""}]",und,13,17,validated,unmapped,,language_uncertain; modifier_relation_requires_review:severity; reference_review_required,
18,v2-18,FR,Which specimen is required for Creatinine [Mass/volume] in Serum or Plasma?,needs_review,Creatinine [Mass/volume] in Serum or Plasma,diagnostic_test,unspecified,unspecified,unspecified,general_question,[],und,31,74,validated,matched,LOINC:2160-0,language_uncertain,
19,v2-19,IT,Which laboratory test should assess Creatinine in this patient?,needs_review,Creatinine,diagnostic_test,unspecified,unspecified,unspecified,general_question,[],en,36,46,validated,insufficient_specificity,,reference_review_required,
